Order_ID,Ship_Mode,Customer_ID,Segment,State,Category,Sub_Category,Sales,order_date,ship_date,year,month,week,Lat,Long
CA-2015-167164,Second Class,AG-10270,Consumer,Utah,Office Supplies,Storage,55.5,2015-05-13,2015-05-15,2015,5,19,40.150032,-111.862434
CA-2015-143336,Second Class,ZD-21925,Consumer,California,Office Supplies,Art,8.56,2015-08-27,2015-09-01,2015,8,35,36.116203,-119.681564
CA-2015-143336,Second Class,ZD-21925,Consumer,California,Technology,Phones,213.48,2015-08-27,2015-09-01,2015,8,35,36.116203,-119.681564
CA-2015-143336,Second Class,ZD-21925,Consumer,California,Office Supplies,Binders,22.72,2015-08-27,2015-09-01,2015,8,35,36.116203,-119.681564
CA-2017-137330,Standard Class,KB-16585,Corporate,Nebraska,Office Supplies,Art,19.46,2017-12-09,2017-12-13,2017,12,49,41.12537,-98.268082
CA-2017-137330,Standard Class,KB-16585,Corporate,Nebraska,Office Supplies,Appliances,60.34,2017-12-09,2017-12-13,2017,12,49,41.12537,-98.268082
US-2018-156909,Second Class,SF-20065,Consumer,Pennsylvania,Furniture,Chairs,71.372,2018-07-16,2018-07-18,2018,7,29,40.590752,-77.209755
CA-2016-106320,Standard Class,EB-13870,Consumer,Utah,Furniture,Tables,1044.63,2016-09-25,2016-09-30,2016,9,39,40.150032,-111.862434
CA-2017-121755,Second Class,EH-13945,Consumer,California,Office Supplies,Binders,11.648,2017-01-16,2017-01-20,2017,1,3,36.116203,-119.681564
CA-2017-121755,Second Class,EH-13945,Consumer,California,Technology,Accessories,90.57,2017-01-16,2017-01-20,2017,1,3,36.116203,-119.681564
US-2016-150630,Standard Class,TB-21520,Consumer,Pennsylvania,Furniture,Bookcases,3083.43,2016-09-17,2016-09-21,2016,9,38,40.590752,-77.209755
US-2016-150630,Standard Class,TB-21520,Consumer,Pennsylvania,Office Supplies,Binders,9.618,2016-09-17,2016-09-21,2016,9,38,40.590752,-77.209755
US-2016-150630,Standard Class,TB-21520,Consumer,Pennsylvania,Furniture,Furnishings,124.2,2016-09-17,2016-09-21,2016,9,38,40.590752,-77.209755
US-2016-150630,Standard Class,TB-21520,Consumer,Pennsylvania,Office Supplies,Envelopes,3.264,2016-09-17,2016-09-21,2016,9,38,40.590752,-77.209755
US-2016-150630,Standard Class,TB-21520,Consumer,Pennsylvania,Office Supplies,Art,86.304,2016-09-17,2016-09-21,2016,9,38,40.590752,-77.209755
US-2016-150630,Standard Class,TB-21520,Consumer,Pennsylvania,Office Supplies,Binders,6.858,2016-09-17,2016-09-21,2016,9,38,40.590752,-77.209755
US-2016-150630,Standard Class,TB-21520,Consumer,Pennsylvania,Office Supplies,Art,15.76,2016-09-17,2016-09-21,2016,9,38,40.590752,-77.209755
CA-2018-107727,Second Class,MA-17560,Home Office,Texas,Office Supplies,Paper,29.472,2018-10-19,2018-10-23,2018,10,42,31.054487,-97.563461
CA-2017-117590,First Class,GH-14485,Corporate,Texas,Technology,Phones,1097.544,2017-12-08,2017-12-10,2017,12,49,31.054487,-97.563461
CA-2017-117590,First Class,GH-14485,Corporate,Texas,Furniture,Furnishings,190.92,2017-12-08,2017-12-10,2017,12,49,31.054487,-97.563461
CA-2016-117415,Standard Class,SN-20710,Home Office,Texas,Office Supplies,Envelopes,113.328,2016-12-27,2016-12-31,2016,12,52,31.054487,-97.563461
CA-2016-117415,Standard Class,SN-20710,Home Office,Texas,Furniture,Bookcases,532.3992,2016-12-27,2016-12-31,2016,12,52,31.054487,-97.563461
CA-2016-117415,Standard Class,SN-20710,Home Office,Texas,Furniture,Chairs,212.058,2016-12-27,2016-12-31,2016,12,52,31.054487,-97.563461
CA-2016-117415,Standard Class,SN-20710,Home Office,Texas,Technology,Phones,371.168,2016-12-27,2016-12-31,2016,12,52,31.054487,-97.563461
CA-2018-120999,Standard Class,LC-16930,Corporate,Illinois,Technology,Phones,147.168,2018-09-10,2018-09-15,2018,9,37,40.349457,-88.986137
CA-2017-101343,Standard Class,RA-19885,Corporate,California,Office Supplies,Storage,77.88,2017-07-17,2017-07-22,2017,7,29,36.116203,-119.681564
CA-2018-139619,Standard Class,ES-14080,Corporate,Florida,Office Supplies,Storage,95.616,2018-09-19,2018-09-23,2018,9,38,27.766279,-81.686783
CA-2017-118255,First Class,ON-18715,Corporate,Minnesota,Technology,Accessories,45.98,2017-03-11,2017-03-13,2017,3,10,45.694454,-93.900192
CA-2017-118255,First Class,ON-18715,Corporate,Minnesota,Office Supplies,Binders,17.46,2017-03-11,2017-03-13,2017,3,10,45.694454,-93.900192
CA-2015-146703,Second Class,PO-18865,Consumer,Michigan,Office Supplies,Storage,211.96,2015-10-20,2015-10-25,2015,10,42,43.326618,-84.536095
CA-2017-169194,Standard Class,LH-16900,Consumer,Delaware,Technology,Accessories,45,2017-06-20,2017-06-25,2017,6,25,39.318523,-75.507141
CA-2017-169194,Standard Class,LH-16900,Consumer,Delaware,Technology,Phones,21.8,2017-06-20,2017-06-25,2017,6,25,39.318523,-75.507141
CA-2016-115742,Standard Class,DP-13000,Consumer,Indiana,Office Supplies,Binders,38.22,2016-04-18,2016-04-22,2016,4,16,39.849426,-86.258278
CA-2016-115742,Standard Class,DP-13000,Consumer,Indiana,Office Supplies,Labels,75.18,2016-04-18,2016-04-22,2016,4,16,39.849426,-86.258278
CA-2016-115742,Standard Class,DP-13000,Consumer,Indiana,Furniture,Furnishings,6.16,2016-04-18,2016-04-22,2016,4,16,39.849426,-86.258278
CA-2016-115742,Standard Class,DP-13000,Consumer,Indiana,Furniture,Chairs,89.99,2016-04-18,2016-04-22,2016,4,16,39.849426,-86.258278
CA-2017-105816,Standard Class,JM-15265,Corporate,New York,Office Supplies,Fasteners,15.26,2017-12-11,2017-12-17,2017,12,50,42.165726,-74.948051
CA-2017-105816,Standard Class,JM-15265,Corporate,New York,Technology,Phones,1029.95,2017-12-11,2017-12-17,2017,12,50,42.165726,-74.948051
CA-2017-111682,First Class,TB-21055,Consumer,New York,Office Supplies,Storage,208.56,2017-06-17,2017-06-18,2017,6,24,42.165726,-74.948051
CA-2017-111682,First Class,TB-21055,Consumer,New York,Office Supplies,Paper,32.4,2017-06-17,2017-06-18,2017,6,24,42.165726,-74.948051
CA-2017-111682,First Class,TB-21055,Consumer,New York,Furniture,Chairs,319.41,2017-06-17,2017-06-18,2017,6,24,42.165726,-74.948051
CA-2017-111682,First Class,TB-21055,Consumer,New York,Office Supplies,Paper,14.56,2017-06-17,2017-06-18,2017,6,24,42.165726,-74.948051
CA-2017-111682,First Class,TB-21055,Consumer,New York,Technology,Accessories,30,2017-06-17,2017-06-18,2017,6,24,42.165726,-74.948051
CA-2017-111682,First Class,TB-21055,Consumer,New York,Office Supplies,Binders,48.48,2017-06-17,2017-06-18,2017,6,24,42.165726,-74.948051
CA-2017-111682,First Class,TB-21055,Consumer,New York,Office Supplies,Art,1.68,2017-06-17,2017-06-18,2017,6,24,42.165726,-74.948051
CA-2016-135545,Standard Class,KM-16720,Consumer,California,Technology,Accessories,13.98,2016-11-24,2016-11-30,2016,11,47,36.116203,-119.681564
CA-2016-135545,Standard Class,KM-16720,Consumer,California,Office Supplies,Binders,25.824,2016-11-24,2016-11-30,2016,11,47,36.116203,-119.681564
CA-2016-135545,Standard Class,KM-16720,Consumer,California,Office Supplies,Paper,146.73,2016-11-24,2016-11-30,2016,11,47,36.116203,-119.681564
CA-2016-135545,Standard Class,KM-16720,Consumer,California,Furniture,Furnishings,79.76,2016-11-24,2016-11-30,2016,11,47,36.116203,-119.681564
US-2016-164175,Standard Class,PS-18970,Home Office,Illinois,Furniture,Chairs,213.115,2016-04-30,2016-05-05,2016,4,18,40.349457,-88.986137
CA-2015-106376,Standard Class,BS-11590,Corporate,Arizona,Office Supplies,Art,1113.024,2015-12-05,2015-12-10,2015,12,49,33.729759,-111.431221
CA-2015-106376,Standard Class,BS-11590,Corporate,Arizona,Technology,Phones,167.968,2015-12-05,2015-12-10,2015,12,49,33.729759,-111.431221
CA-2017-119823,First Class,KD-16270,Consumer,Virginia,Office Supplies,Paper,75.88,2017-06-04,2017-06-06,2017,6,23,37.769337,-78.169968
CA-2017-106075,Standard Class,HM-14980,Consumer,New York,Office Supplies,Binders,4.616,2017-09-18,2017-09-23,2017,9,38,42.165726,-74.948051
CA-2018-114440,Second Class,TB-21520,Consumer,Michigan,Office Supplies,Paper,19.05,2018-09-14,2018-09-17,2018,9,37,43.326618,-84.536095
US-2016-134026,Standard Class,JE-15745,Consumer,Tennessee,Furniture,Chairs,831.936,2016-04-26,2016-05-02,2016,4,17,35.747845,-86.692345
US-2016-134026,Standard Class,JE-15745,Consumer,Tennessee,Furniture,Furnishings,97.04,2016-04-26,2016-05-02,2016,4,17,35.747845,-86.692345
US-2016-134026,Standard Class,JE-15745,Consumer,Tennessee,Office Supplies,Storage,72.784,2016-04-26,2016-05-02,2016,4,17,35.747845,-86.692345
US-2018-118038,First Class,KB-16600,Corporate,Texas,Office Supplies,Binders,1.248,2018-12-09,2018-12-11,2018,12,49,31.054487,-97.563461
US-2018-118038,First Class,KB-16600,Corporate,Texas,Furniture,Furnishings,9.708,2018-12-09,2018-12-11,2018,12,49,31.054487,-97.563461
US-2018-118038,First Class,KB-16600,Corporate,Texas,Office Supplies,Storage,27.24,2018-12-09,2018-12-11,2018,12,49,31.054487,-97.563461
US-2015-147606,Second Class,JE-15745,Consumer,Texas,Furniture,Furnishings,19.3,2015-11-26,2015-12-01,2015,11,48,31.054487,-97.563461
CA-2017-127208,First Class,SC-20770,Corporate,Alabama,Office Supplies,Appliances,208.16,2017-06-12,2017-06-15,2017,6,24,32.806671,-86.79113
CA-2017-127208,First Class,SC-20770,Corporate,Alabama,Office Supplies,Binders,16.74,2017-06-12,2017-06-15,2017,6,24,32.806671,-86.79113
CA-2015-139451,Standard Class,DN-13690,Consumer,California,Office Supplies,Art,14.9,2015-10-12,2015-10-16,2015,10,41,36.116203,-119.681564
CA-2015-139451,Standard Class,DN-13690,Consumer,California,Office Supplies,Storage,21.39,2015-10-12,2015-10-16,2015,10,41,36.116203,-119.681564
CA-2016-149734,Standard Class,JC-16105,Corporate,North Carolina,Office Supplies,Envelopes,200.984,2016-09-03,2016-09-08,2016,9,36,35.630066,-79.806419
US-2018-119662,First Class,CS-12400,Home Office,Illinois,Office Supplies,Storage,230.376,2018-11-13,2018-11-16,2018,11,46,40.349457,-88.986137
CA-2018-140088,Second Class,PO-18865,Consumer,South Carolina,Furniture,Chairs,301.96,2018-05-28,2018-05-30,2018,5,22,33.856892,-80.945007
CA-2018-155558,Standard Class,PG-18895,Consumer,Minnesota,Technology,Accessories,19.99,2018-10-26,2018-11-02,2018,10,43,45.694454,-93.900192
CA-2018-155558,Standard Class,PG-18895,Consumer,Minnesota,Office Supplies,Labels,6.16,2018-10-26,2018-11-02,2018,10,43,45.694454,-93.900192
CA-2017-159695,Second Class,GM-14455,Home Office,Texas,Office Supplies,Storage,158.368,2017-04-05,2017-04-10,2017,4,14,31.054487,-97.563461
CA-2017-109806,Standard Class,JS-15685,Corporate,California,Office Supplies,Art,20.1,2017-09-17,2017-09-22,2017,9,38,36.116203,-119.681564
CA-2017-109806,Standard Class,JS-15685,Corporate,California,Technology,Phones,73.584,2017-09-17,2017-09-22,2017,9,38,36.116203,-119.681564
CA-2017-109806,Standard Class,JS-15685,Corporate,California,Office Supplies,Paper,6.48,2017-09-17,2017-09-22,2017,9,38,36.116203,-119.681564
CA-2016-149587,Second Class,KB-16315,Consumer,Minnesota,Office Supplies,Paper,12.96,2016-01-31,2016-02-05,2016,1,5,45.694454,-93.900192
CA-2016-149587,Second Class,KB-16315,Consumer,Minnesota,Furniture,Furnishings,53.34,2016-01-31,2016-02-05,2016,1,5,45.694454,-93.900192
CA-2016-149587,Second Class,KB-16315,Consumer,Minnesota,Office Supplies,Binders,32.96,2016-01-31,2016-02-05,2016,1,5,45.694454,-93.900192
US-2018-109484,Standard Class,RB-19705,Home Office,Oregon,Office Supplies,Binders,5.682,2018-11-06,2018-11-12,2018,11,45,44.572021,-122.070938
CA-2018-161018,Second Class,PN-18775,Home Office,New York,Furniture,Furnishings,96.53,2018-11-09,2018-11-11,2018,11,45,42.165726,-74.948051
CA-2018-157833,First Class,KD-16345,Consumer,California,Office Supplies,Binders,51.312,2018-06-17,2018-06-20,2018,6,24,36.116203,-119.681564
CA-2017-149223,Standard Class,ER-13855,Corporate,Minnesota,Office Supplies,Appliances,77.88,2017-09-06,2017-09-11,2017,9,36,45.694454,-93.900192
CA-2017-158568,Standard Class,RB-19465,Home Office,Illinois,Office Supplies,Paper,64.624,2017-08-29,2017-09-02,2017,8,35,40.349457,-88.986137
CA-2017-158568,Standard Class,RB-19465,Home Office,Illinois,Technology,Accessories,95.976,2017-08-29,2017-09-02,2017,8,35,40.349457,-88.986137
CA-2017-158568,Standard Class,RB-19465,Home Office,Illinois,Office Supplies,Binders,1.788,2017-08-29,2017-09-02,2017,8,35,40.349457,-88.986137
CA-2017-129903,Second Class,GZ-14470,Consumer,Minnesota,Office Supplies,Paper,23.92,2017-12-01,2017-12-04,2017,12,48,45.694454,-93.900192
US-2016-156867,Standard Class,LC-16870,Consumer,Colorado,Technology,Accessories,238.896,2016-11-13,2016-11-17,2016,11,46,39.059811,-105.311104
US-2016-156867,Standard Class,LC-16870,Consumer,Colorado,Furniture,Furnishings,102.36,2016-11-13,2016-11-17,2016,11,46,39.059811,-105.311104
US-2016-156867,Standard Class,LC-16870,Consumer,Colorado,Office Supplies,Binders,36.882,2016-11-13,2016-11-17,2016,11,46,39.059811,-105.311104
CA-2018-119004,Standard Class,JM-15250,Consumer,North Carolina,Technology,Accessories,74.112,2018-11-23,2018-11-28,2018,11,47,35.630066,-79.806419
CA-2018-119004,Standard Class,JM-15250,Consumer,North Carolina,Technology,Phones,27.992,2018-11-23,2018-11-28,2018,11,47,35.630066,-79.806419
CA-2018-119004,Standard Class,JM-15250,Consumer,North Carolina,Office Supplies,Art,3.304,2018-11-23,2018-11-28,2018,11,47,35.630066,-79.806419
CA-2016-129476,Standard Class,PA-19060,Home Office,Illinois,Technology,Accessories,339.96,2016-10-15,2016-10-20,2016,10,42,40.349457,-88.986137
CA-2018-146780,Standard Class,CV-12805,Corporate,New York,Furniture,Furnishings,41.96,2018-12-25,2018-12-30,2018,12,52,42.165726,-74.948051
CA-2017-128867,Standard Class,CL-12565,Consumer,Iowa,Office Supplies,Art,75.96,2017-11-03,2017-11-10,2017,11,44,42.011539,-93.210526
CA-2017-128867,Standard Class,CL-12565,Consumer,Iowa,Office Supplies,Binders,27.24,2017-11-03,2017-11-10,2017,11,44,42.011539,-93.210526
CA-2015-115259,Second Class,RC-19960,Consumer,Ohio,Office Supplies,Fasteners,40.096,2015-08-25,2015-08-27,2015,8,34,40.388783,-82.764915
CA-2015-115259,Second Class,RC-19960,Consumer,Ohio,Office Supplies,Envelopes,4.72,2015-08-25,2015-08-27,2015,8,34,40.388783,-82.764915
CA-2015-115259,Second Class,RC-19960,Consumer,Ohio,Office Supplies,Paper,23.976,2015-08-25,2015-08-27,2015,8,34,40.388783,-82.764915
CA-2015-115259,Second Class,RC-19960,Consumer,Ohio,Office Supplies,Envelopes,130.464,2015-08-25,2015-08-27,2015,8,34,40.388783,-82.764915
CA-2016-110457,Standard Class,DK-13090,Consumer,Washington,Furniture,Tables,787.53,2016-03-02,2016-03-06,2016,3,9,47.400902,-121.490494
US-2016-136476,Standard Class,GG-14650,Corporate,Tennessee,Office Supplies,Binders,157.794,2016-04-05,2016-04-10,2016,4,14,35.747845,-86.692345
CA-2017-103730,First Class,SC-20725,Consumer,Delaware,Furniture,Furnishings,47.04,2017-06-12,2017-06-15,2017,6,24,39.318523,-75.507141
CA-2017-103730,First Class,SC-20725,Consumer,Delaware,Office Supplies,Binders,30.84,2017-06-12,2017-06-15,2017,6,24,39.318523,-75.507141
CA-2017-103730,First Class,SC-20725,Consumer,Delaware,Office Supplies,Storage,226.56,2017-06-12,2017-06-15,2017,6,24,39.318523,-75.507141
CA-2017-103730,First Class,SC-20725,Consumer,Delaware,Office Supplies,Envelopes,115.02,2017-06-12,2017-06-15,2017,6,24,39.318523,-75.507141
CA-2017-103730,First Class,SC-20725,Consumer,Delaware,Technology,Phones,68.04,2017-06-12,2017-06-15,2017,6,24,39.318523,-75.507141
US-2015-152030,Second Class,AD-10180,Home Office,Texas,Furniture,Chairs,600.558,2015-12-26,2015-12-28,2015,12,52,31.054487,-97.563461
US-2015-134614,Standard Class,PF-19165,Consumer,Illinois,Furniture,Tables,617.7,2015-09-20,2015-09-25,2015,9,38,40.349457,-88.986137
US-2018-107272,Standard Class,TS-21610,Consumer,Arizona,Office Supplies,Binders,2.388,2018-11-05,2018-11-12,2018,11,45,33.729759,-111.431221
US-2018-107272,Standard Class,TS-21610,Consumer,Arizona,Office Supplies,Storage,243.992,2018-11-05,2018-11-12,2018,11,45,33.729759,-111.431221
US-2017-125969,Second Class,LS-16975,Home Office,California,Furniture,Chairs,81.424,2017-11-06,2017-11-10,2017,11,45,36.116203,-119.681564
US-2017-125969,Second Class,LS-16975,Home Office,California,Furniture,Furnishings,238.56,2017-11-06,2017-11-10,2017,11,45,36.116203,-119.681564
US-2018-164147,First Class,DW-13585,Corporate,Ohio,Technology,Phones,59.97,2018-02-02,2018-02-05,2018,2,5,40.388783,-82.764915
US-2018-164147,First Class,DW-13585,Corporate,Ohio,Office Supplies,Paper,78.304,2018-02-02,2018-02-05,2018,2,5,40.388783,-82.764915
US-2018-164147,First Class,DW-13585,Corporate,Ohio,Office Supplies,Fasteners,21.456,2018-02-02,2018-02-05,2018,2,5,40.388783,-82.764915
CA-2017-145583,Standard Class,LC-16885,Consumer,California,Office Supplies,Paper,20.04,2017-10-13,2017-10-19,2017,10,41,36.116203,-119.681564
CA-2017-145583,Standard Class,LC-16885,Consumer,California,Office Supplies,Paper,35.44,2017-10-13,2017-10-19,2017,10,41,36.116203,-119.681564
CA-2017-145583,Standard Class,LC-16885,Consumer,California,Office Supplies,Art,11.52,2017-10-13,2017-10-19,2017,10,41,36.116203,-119.681564
CA-2017-145583,Standard Class,LC-16885,Consumer,California,Office Supplies,Fasteners,4.02,2017-10-13,2017-10-19,2017,10,41,36.116203,-119.681564
CA-2017-145583,Standard Class,LC-16885,Consumer,California,Office Supplies,Binders,76.176,2017-10-13,2017-10-19,2017,10,41,36.116203,-119.681564
CA-2017-145583,Standard Class,LC-16885,Consumer,California,Office Supplies,Supplies,65.88,2017-10-13,2017-10-19,2017,10,41,36.116203,-119.681564
CA-2017-145583,Standard Class,LC-16885,Consumer,California,Furniture,Furnishings,43.12,2017-10-13,2017-10-19,2017,10,41,36.116203,-119.681564
CA-2017-110366,Second Class,JD-15895,Corporate,Pennsylvania,Furniture,Furnishings,82.8,2017-09-05,2017-09-07,2017,9,36,40.590752,-77.209755
CA-2018-106180,Standard Class,SH-19975,Corporate,California,Office Supplies,Art,8.82,2018-09-18,2018-09-23,2018,9,38,36.116203,-119.681564
CA-2018-106180,Standard Class,SH-19975,Corporate,California,Office Supplies,Envelopes,10.86,2018-09-18,2018-09-23,2018,9,38,36.116203,-119.681564
CA-2018-106180,Standard Class,SH-19975,Corporate,California,Office Supplies,Paper,143.7,2018-09-18,2018-09-23,2018,9,38,36.116203,-119.681564
CA-2018-155376,Standard Class,SG-20080,Consumer,Missouri,Office Supplies,Appliances,839.43,2018-12-22,2018-12-27,2018,12,51,38.456085,-92.288368
CA-2016-110744,Standard Class,HA-14920,Consumer,California,Office Supplies,Storage,671.93,2016-09-07,2016-09-12,2016,9,36,36.116203,-119.681564
CA-2015-110072,Standard Class,MG-17680,Home Office,Ohio,Furniture,Furnishings,93.888,2015-10-22,2015-10-28,2015,10,43,40.388783,-82.764915
CA-2017-114489,Standard Class,JE-16165,Corporate,Wisconsin,Technology,Phones,384.45,2017-12-05,2017-12-09,2017,12,49,44.268543,-89.616508
CA-2017-114489,Standard Class,JE-16165,Corporate,Wisconsin,Technology,Phones,149.97,2017-12-05,2017-12-09,2017,12,49,44.268543,-89.616508
CA-2017-114489,Standard Class,JE-16165,Corporate,Wisconsin,Furniture,Chairs,1951.84,2017-12-05,2017-12-09,2017,12,49,44.268543,-89.616508
CA-2017-114489,Standard Class,JE-16165,Corporate,Wisconsin,Office Supplies,Binders,171.55,2017-12-05,2017-12-09,2017,12,49,44.268543,-89.616508
CA-2017-158834,First Class,TW-21025,Home Office,Arizona,Office Supplies,Appliances,157.92,2017-03-13,2017-03-16,2017,3,11,33.729759,-111.431221
CA-2017-158834,First Class,TW-21025,Home Office,Arizona,Technology,Phones,203.184,2017-03-13,2017-03-16,2017,3,11,33.729759,-111.431221
CA-2016-124919,First Class,SP-20650,Corporate,California,Office Supplies,Paper,58.38,2016-05-31,2016-06-02,2016,5,22,36.116203,-119.681564
CA-2016-124919,First Class,SP-20650,Corporate,California,Office Supplies,Paper,105.52,2016-05-31,2016-06-02,2016,5,22,36.116203,-119.681564
CA-2016-124919,First Class,SP-20650,Corporate,California,Office Supplies,Storage,80.88,2016-05-31,2016-06-02,2016,5,22,36.116203,-119.681564
CA-2016-118948,Standard Class,NK-18490,Home Office,Washington,Office Supplies,Art,6.63,2016-05-28,2016-06-03,2016,5,22,47.400902,-121.490494
CA-2015-104269,Second Class,DB-13060,Consumer,Washington,Furniture,Chairs,457.568,2015-03-01,2015-03-06,2015,3,9,47.400902,-121.490494
CA-2017-114104,Standard Class,NP-18670,Consumer,Oklahoma,Office Supplies,Labels,14.62,2017-11-20,2017-11-24,2017,11,47,35.565342,-96.928917
CA-2017-114104,Standard Class,NP-18670,Consumer,Oklahoma,Technology,Phones,944.93,2017-11-20,2017-11-24,2017,11,47,35.565342,-96.928917
CA-2017-162733,First Class,TT-21070,Consumer,California,Office Supplies,Paper,5.98,2017-05-11,2017-05-12,2017,5,19,36.116203,-119.681564
CA-2016-119697,Second Class,EM-13960,Consumer,Pennsylvania,Technology,Accessories,54.384,2016-12-28,2016-12-31,2016,12,52,40.590752,-77.209755
CA-2017-154508,Standard Class,RD-19900,Consumer,New Mexico,Office Supplies,Envelopes,28.4,2017-11-16,2017-11-20,2017,11,46,34.840515,-106.248482
CA-2017-113817,Standard Class,MJ-17740,Consumer,Washington,Office Supplies,Binders,27.68,2017-11-07,2017-11-11,2017,11,45,47.400902,-121.490494
CA-2015-139892,Standard Class,BM-11140,Consumer,Texas,Office Supplies,Art,9.936,2015-09-08,2015-09-12,2015,9,36,31.054487,-97.563461
CA-2015-139892,Standard Class,BM-11140,Consumer,Texas,Technology,Machines,8159.952,2015-09-08,2015-09-12,2015,9,36,31.054487,-97.563461
CA-2015-139892,Standard Class,BM-11140,Consumer,Texas,Office Supplies,Storage,275.928,2015-09-08,2015-09-12,2015,9,36,31.054487,-97.563461
CA-2015-139892,Standard Class,BM-11140,Consumer,Texas,Furniture,Chairs,1740.06,2015-09-08,2015-09-12,2015,9,36,31.054487,-97.563461
CA-2015-139892,Standard Class,BM-11140,Consumer,Texas,Office Supplies,Art,32.064,2015-09-08,2015-09-12,2015,9,36,31.054487,-97.563461
CA-2015-139892,Standard Class,BM-11140,Consumer,Texas,Office Supplies,Appliances,177.98,2015-09-08,2015-09-12,2015,9,36,31.054487,-97.563461
CA-2015-139892,Standard Class,BM-11140,Consumer,Texas,Technology,Phones,143.976,2015-09-08,2015-09-12,2015,9,36,31.054487,-97.563461
CA-2015-118962,Standard Class,CS-12130,Consumer,California,Office Supplies,Paper,110.96,2015-08-05,2015-08-09,2015,8,31,36.116203,-119.681564
CA-2015-118962,Standard Class,CS-12130,Consumer,California,Furniture,Chairs,340.144,2015-08-05,2015-08-09,2015,8,31,36.116203,-119.681564
US-2015-100853,Standard Class,JB-15400,Corporate,Illinois,Office Supplies,Appliances,52.448,2015-09-14,2015-09-19,2015,9,37,40.349457,-88.986137
US-2015-100853,Standard Class,JB-15400,Corporate,Illinois,Office Supplies,Labels,20.16,2015-09-14,2015-09-19,2015,9,37,40.349457,-88.986137
US-2018-152366,Second Class,SJ-20500,Consumer,Texas,Office Supplies,Appliances,97.264,2018-04-21,2018-04-25,2018,4,16,31.054487,-97.563461
US-2016-101511,Second Class,JE-15745,Consumer,Ohio,Furniture,Chairs,396.802,2016-11-21,2016-11-23,2016,11,47,40.388783,-82.764915
US-2016-101511,Second Class,JE-15745,Consumer,Ohio,Office Supplies,Supplies,15.88,2016-11-21,2016-11-23,2016,11,47,40.388783,-82.764915
CA-2016-137225,Standard Class,JK-15640,Home Office,New York,Office Supplies,Art,3.28,2016-12-15,2016-12-19,2016,12,50,42.165726,-74.948051
CA-2015-166191,Second Class,DK-13150,Corporate,Illinois,Office Supplies,Storage,24.816,2015-12-05,2015-12-09,2015,12,49,40.349457,-88.986137
CA-2015-166191,Second Class,DK-13150,Corporate,Illinois,Technology,Accessories,408.744,2015-12-05,2015-12-09,2015,12,49,40.349457,-88.986137
CA-2015-158274,Second Class,RM-19675,Home Office,Louisiana,Technology,Phones,503.96,2015-11-19,2015-11-24,2015,11,47,31.169546,-91.867805
